PropertyID,count_atm,count_bank,count_childcare,count_clinic,count_community_centre,count_doctors,count_fast_food,count_fuel,count_kindergarten,count_parking_space,count_restaurant,min_dist_atm,min_dist_bank,min_dist_childcare,min_dist_clinic,min_dist_community_centre,min_dist_doctors,min_dist_fast_food,min_dist_fuel,min_dist_kindergarten,min_dist_parking_space,min_dist_restaurant,count_bar,count_bus_station,count_cafe,count_charging_station,count_cinema,count_college,count_fire_station,count_food_court,count_library,count_nightclub,count_nursing_home,count_parcel_locker,count_pharmacy,count_police,count_social_facility,count_taxi,count_theatre,count_university,count_veterinary,min_dist_bar,min_dist_bus_station,min_dist_cafe,min_dist_charging_station,min_dist_cinema,min_dist_college,min_dist_fire_station,min_dist_food_court,min_dist_library,min_dist_nightclub,min_dist_nursing_home,min_dist_parcel_locker,min_dist_pharmacy,min_dist_police,min_dist_social_facility,min_dist_taxi,min_dist_theatre,min_dist_university,min_dist_veterinary,count_car_rental,count_coworking_space,count_events_venue,count_hospital,count_social_centre,min_dist_car_rental,min_dist_coworking_space,min_dist_events_venue,min_dist_hospital,min_dist_social_centre,count_motorcycle_parking,count_toy_library,count_waste_disposal,min_dist_motorcycle_parking,min_dist_toy_library,min_dist_waste_disposal,count_brothel,count_casino,count_conference_centre,count_exhibition_centre,count_internet_cafe,count_juice_bar,count_prison,min_dist_brothel,min_dist_casino,min_dist_conference_centre,min_dist_exhibition_centre,min_dist_internet_cafe,min_dist_juice_bar,min_dist_prison,count_student_accommodation,min_dist_student_accommodation,count_events_centre,count_healthcare,min_dist_events_centre,min_dist_healthcare,count_bus_station;shelter,min_dist_bus_station;shelter,count_courier,min_dist_courier,count_waste_transfer_station,min_dist_waste_transfer_station,count_retail,min_dist_retail,count_restaurant; cafe,min_dist_restaurant; cafe,count_restaurant;cafe,min_dist_restaurant;cafe,count_biergarten,count_meeting_point,count_music_venue,count_tool_library,min_dist_biergarten,min_dist_meeting_point,min_dist_music_venue,min_dist_tool_library,count_private parking_space,min_dist_private parking_space,count_community_hall;kindergarten,min_dist_community_hall;kindergarten,count_car_wash;cafe,min_dist_car_wash;cafe,count_cafe;deli,min_dist_cafe;deli,count_cafe;bar,min_dist_cafe;bar,count_diused:fuel,min_dist_diused:fuel
17758724,3.0,1.0,3.0,1.0,1.0,1.0,6.0,4.0,8.0,120.0,7.0,1407.923674062011,1401.316787211698,1331.0912269158678,1852.033388466359,810.6310411161103,1054.7656060247436,927.2453298484064,984.8190752667892,1332.1376861967774,1238.1657541305535,949.2169065282924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758700,5.0,9.0,2.0,,1.0,3.0,13.0,5.0,,19.0,32.0,457.0547215595945,1169.6420983420935,1117.6782127146173,,1305.6960098999468,1369.1666661313543,346.7858047924812,882.789671429464,,350.6263468175474,541.3218985332467,2.0,2.0,32.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,7.0,1.0,2.0,1.0,2.0,2.0,1.0,849.3978531067645,1046.963050840286,843.2571018695263,970.860032563521,1352.238195111819,1274.8119808647436,589.0167397383141,1615.877805862477,1529.143224982654,1259.5540015557806,704.4058442577742,1062.9452779352737,1017.1890498905964,1303.8205908106313,1366.6453608479708,1351.2548509500657,1388.1649123447478,1290.3534173442097,428.53218843176114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758698,4.0,7.0,,6.0,8.0,20.0,36.0,10.0,21.0,3.0,65.0,282.4221298378445,528.8789465171606,,706.628110470217,381.8540121525492,307.97429745079984,283.4012564864198,244.01109018317885,293.98155110890275,1508.7483155420307,255.9405192749878,11.0,,77.0,3.0,1.0,,,,5.0,1.0,2.0,,8.0,1.0,2.0,,1.0,,3.0,292.6521314284876,,277.167877014863,697.9451099141451,1313.4109134020025,,,,518.4739746655181,1198.8249500496752,645.8306170902866,,357.0318944280598,1708.6111158244612,946.3875724535858,,1603.36413058469,,277.0852106257857,1.0,1.0,6.0,3.0,1.0,252.3890459553738,610.8984986815913,333.98411016350536,798.0284422742722,1003.4924095760732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758685,1.0,,2.0,,1.0,,2.0,1.0,,,,1516.5418501026152,,1796.4400197900238,,634.7970771762969,,1517.592061064248,1510.9352806020745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758663,1.0,,2.0,,1.0,,2.0,1.0,,,,953.557646118914,,1226.9198697681636,,191.3603501738872,,957.0420256197948,946.5762707072776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758623,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1608.4691209818468,,1069.4312178916225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758612,4.0,3.0,4.0,14.0,5.0,2.0,23.0,3.0,4.0,126.0,82.0,1455.886348654879,258.744397785857,364.1954061202148,305.98833969083745,298.6555145942634,477.7554501417677,123.05937635926745,1834.5724389590523,751.0764078755686,206.0207257559441,162.29766453714282,3.0,,37.0,3.0,,1.0,,,1.0,,,2.0,10.0,,6.0,2.0,,1.0,4.0,381.4617044034217,,176.69746356724312,784.4414728688981,,585.8988076696321,,,287.9315494422105,,,1467.8545162759756,327.71242966432897,,701.5258804352343,876.8148314952473,,1840.7861868247176,438.6392811752145,1.0,,1.0,,,1916.863144665274,,1770.7971559623716,,,1.0,1.0,1.0,328.4105474540543,604.3137394335599,431.641928542625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758591,,,1.0,3.0,2.0,2.0,8.0,7.0,4.0,,1.0,,,450.3508189645902,771.8163149934261,483.3335141140652,1329.7882922624692,559.376956649227,166.8685034932378,1157.313866647516,,296.0788699083972,,,3.0,,,,1.0,,,,,1.0,2.0,2.0,,,,,,,,1821.1240262933852,,,,1609.5985511118668,,,,,1935.1799894416868,339.01305482787166,1566.933930221849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17758570,,,,,,,,1.0,,,,,,,,,,,829.1876983172581,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,585.4781814143579,760.7490623280373,,,525.405615239036,,,,,,,892.7506928338065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
